numero_questao,enunciado,alternativas,gabarito,pc_amostra_acertos,ano,gabarito_texto,distratores,enunciado_tokens,gabarito_tokens,distratores_tokens,dificuldade
Uma pessoa decide levar esse aparelho a um 
acampamento e utilizar dez baterias de carro de 12 volts 
e 60 ampères-hora, ligadas em série, para alimentá-lo.
O aparelho não funcionará, pois","A: a bateria não fornece a potência necessária.; B: necessita de corrente alternada para sua operação.; C: as baterias foram ligadas em um arranjo diferente do 
indicado.; D: a tensão das baterias é inferior à tensão mínima 
exigida pelo aparelho.; E: uma bateria de carro não é capaz de fornecer a 
corrente exigida de dois ampères.",B,0.23,2017,necessita de corrente alternada para sua operação.,"a bateria não fornece a potência necessária.; as baterias foram ligadas em um arranjo diferente do 
indicado.; a tensão das baterias é inferior à tensão mínima 
exigida pelo aparelho.; uma bateria de carro não é capaz de fornecer a 
corrente exigida de dois ampères.",determinado aparelho tv traz etiqueta próxima cabo força informação alimentação volts hertz ampères pessoa decide levar aparelho acampamento utilizar dez baterias carro volts ampères hora ligadas série alimentá lo aparelho funcionará pois,necessita corrente alternada operação,bateria fornece potência necessária baterias ligadas arranjo diferente indicado tensão baterias inferior tensão mínima exigida aparelho bateria carro capaz fornecer corrente exigida dois ampères,2.57144
124,"Uma orquestra é constituída de diferentes 
instrumentos, que são classificados em famílias. Uma 
dessas famílias é a das cordas clássicas ou friccionadas, 
em que os instrumentos, agrupados do mais alto para o 
mais baixo, são: o violino, a viola clássica, o violoncelo e 
o contrabaixo acústico.
O violino, em comparação ao violoncelo, é capaz de 
produzir uma onda sonora com maior",A: período.; B: amplitude.; C: frequência.; D: velocidade.; E: comprimento de onda.,C,0.47,2017,frequência.,período.; amplitude.; velocidade.; comprimento de onda.,orquestra constituída diferentes instrumentos classificados famílias dessas famílias cordas clássicas friccionadas instrumentos agrupados alto baixo violino viola clássica violoncelo contrabaixo acústico violino comparação violoncelo capaz produzir onda sonora maior,frequência,período amplitude velocidade comprimento onda,0.7264
125,"Um motorista que atende a uma chamada de celular 
é levado à desatenção, aumentando a possibilidade 
de acidentes ocorrerem em razão do aumento de seu 
tempo de reação. Considere dois motoristas, o primeiro 
atento e o segundo utilizando o celular enquanto 
dirige. Eles aceleram seus carros inicialmente a  
1 metro por segundo ao quadrado. Em resposta a uma 
emergência, freiam com uma desaceleração igual a 
5 metros por segundo ao quadrado. O motorista atento 
aciona o freio à velocidade de 14 metros por segundo, 
enquanto o desatento, em situação análoga, leva 
1 segundo a mais para iniciar a frenagem.
Que distância o motorista desatento percorre a mais do 
que o motorista atento, até a parada total dos carros?",A: dois vírgula noventa metros; B: catorze vírgula zero metros; C: catorze vírgula cinco metros; D: quinze vírgula zero metros; E: dezessete vírgula quatro metros,E,0.14,2017,dezessete vírgula quatro metros,dois vírgula noventa metros; catorze vírgula zero metros; catorze vírgula cinco metros; quinze vírgula zero metros,motorista atende chamada celular levado desatenção aumentando possibilidade acidentes ocorrerem razão aumento tempo reação considere dois motoristas primeiro atento segundo utilizando celular enquanto dirige aceleram carros inicialmente metro segundo quadrado resposta emergência freiam desaceleração igual metros segundo quadrado motorista atento aciona freio velocidade metros segundo enquanto desatento situação análoga leva segundo iniciar frenagem distância motorista desatento percorre motorista atento parada total carros,dezessete vírgula quatro metros,dois vírgula noventa metros catorze vírgula zero metros catorze vírgula cinco metros quinze vírgula zero metros,0.56765
126,"Uma das estratégias para conservação de alimentos 
é o salgamento, adição de cloreto de sódio (fórmula química do sal de cozinha), 
historicamente utilizado por tropeiros, vaqueiros e 
sertanejos para conservar carnes de boi, porco e peixe.
O que ocorre com as células presentes nos alimentos 
preservados com essa técnica?","A: O sal adicionado diminui a concentração de solutos 
em seu interior.; B: O sal adicionado desorganiza e destrói suas 
membranas plasmáticas.; C: A adição de sal altera as propriedades de suas 
membranas plasmáticas.; D: Os íons Na+ e Cl− provenientes da dissociação do sal 
entram livremente nelas.; E: A grande concentração de sal no meio extracelular 
provoca a saída de água de dentro delas.",E,0.49,2017,"A grande concentração de sal no meio extracelular 
provoca a saída de água de dentro delas.","O sal adicionado diminui a concentração de solutos 
em seu interior.; O sal adicionado desorganiza e destrói suas 
membranas plasmáticas.; A adição de sal altera as propriedades de suas 
membranas plasmáticas.; Os íons Na+ e Cl− provenientes da dissociação do sal 
entram livremente nelas.",estratégias conservação alimentos salgamento adição cloreto sódio fórmula química sal cozinha historicamente utilizado tropeiros vaqueiros sertanejos conservar carnes boi porco peixe ocorre células presentes alimentos preservados técnica,grande concentração sal meio extracelular provoca saída água dentro,sal adicionado diminui concentração solutos interior sal adicionado desorganiza destrói membranas plasmáticas adição sal altera propriedades membranas plasmáticas íons cl provenientes dissociação sal entram livremente nelas,2.03245
127,"Para demonstrar o processo de transformação de 
energia mecânica em elétrica, um estudante constrói um 
pequeno gerador utilizando:
•	 um fio de cobre de diâmetro D enrolado em N 
espiras circulares de área A;
•	 dois ímãs que criam no espaço entre eles um campo 
magnético uniforme de intensidade B; e 
•	 um sistema de engrenagens que lhe permite girar as 
espiras em torno de um eixo com uma frequência f. 
Ao fazer o gerador funcionar, o estudante obteve uma 
tensão máxima V e uma corrente de curto-circuito i.
Para dobrar o valor da tensão máxima V do gerador 
mantendo constante o valor da corrente de curto i, o 
estudante deve dobrar o(a)",A: número de espiras.; B: frequência de giro.; C: intensidade do campo magnético.; D: área das espiras.; E: diâmetro do fio.,A,0.09,2017,número de espiras.,frequência de giro.; intensidade do campo magnético.; área das espiras.; diâmetro do fio.,demonstrar processo transformação energia mecânica elétrica estudante constrói pequeno gerador utilizando fio cobre diâmetro d enrolado n espiras circulares área dois ímãs criam espaço campo magnético uniforme intensidade b sistema engrenagens permite girar espiras torno eixo frequência f fazer gerador funcionar estudante obteve tensão máxima v corrente curto circuito i dobrar valor tensão máxima v gerador mantendo constante valor corrente curto i estudante deve dobrar,número espiras,frequência giro intensidade campo magnético área espiras diâmetro fio,1.45295
128,"Química, a ciência global
A ozonólise, reação utilizada na indústria madeireira 
para a produção de papel, é também utilizada em 
escala de laboratório na síntese de aldeídos e cetonas. 
As duplas ligações dos alcenos são clivadas pela oxidação 
com o ozônio (O3), em presença de água e zinco metálico, 
e a reação produz aldeídos e/ou cetonas, dependendo do 
grau de substituição da ligação dupla. Ligações duplas 
dissubstituídas geram cetonas, enquanto as ligações 
duplas terminais ou monossubstituídas dão origem a 
aldeídos, como mostra o esquema.
Descrição do esquema:
O reagente but-1-eno (hidrocarboneto formado por 
quatro átomos de carbono que apresenta uma ligação 
dupla entre o primeiro e o segundo átomos de carbono) 
reage com ozônio (O3), em presença de água (fórmula química da água), 
e zinco metálico (Zn), e produz propanal (carbono 
ligado a oxigênio por meio de ligação dupla e ligado 
a um átomo de hidrogênio e a um grupo etila por meio 
de ligações simples) e metanal (carbono ligado a 
oxigênio por meio de ligação dupla e a dois átomos de 
hidrogênio por meio de ligações simples).
Considere a ozonólise do composto 1-fenil-2-metilprop-1-eno:
Descrição do composto 1-fenil-2-metilprop-1-eno:
Cadeia carbônica contendo três átomos de carbono 
com uma ligação dupla entre o primeiro e o segundo 
carbonos, um anel benzênico no primeiro carbono e 
um grupo metila no segundo carbono.
Quais são os produtos formados nessa reação?",A: Benzaldeído e propanona.; B: Propanal e benzaldeído.; C: 2-fenil-etanal e metanal.; D: Benzeno e propanona.; E: Benzaldeído e etanal.,A,0.16,2017,Benzaldeído e propanona.,Propanal e benzaldeído.; 2-fenil-etanal e metanal.; Benzeno e propanona.; Benzaldeído e etanal.,química ciência global ozonólise reação utilizada indústria madeireira produção papel utilizada escala laboratório síntese aldeídos cetonas duplas ligações alcenos clivadas oxidação ozônio presença água zinco metálico reação produz aldeídos cetonas dependendo grau substituição ligação dupla ligações duplas dissubstituídas geram cetonas enquanto ligações duplas terminais monossubstituídas dão origem aldeídos mostra esquema descrição esquema reagente but eno hidrocarboneto formado quatro átomos carbono apresenta ligação dupla primeiro segundo átomos carbono reage ozônio presença água fórmula química água zinco metálico zn produz propanal carbono ligado oxigênio meio ligação dupla ligado átomo hidrogênio grupo etila meio ligações simples metanal carbono ligado oxigênio meio ligação dupla dois átomos hidrogênio meio ligações simples considere ozonólise composto fenil metilprop eno descrição composto fenil metilprop eno cadeia carbônica contendo três átomos carbono ligação dupla primeiro segundo carbonos anel benzênico primeiro carbono grupo metila segundo carbono quais produtos formados nessa reação,benzaldeído propanona,propanal benzaldeído fenil etanal metanal benzeno propanona benzaldeído etanal,1.41041
129,"A terapia celular tem sido amplamente divulgada como revolucionária, por permitir a regeneração de tecidos a 
partir de células novas. Entretanto, a técnica de se introduzirem novas células em um tecido, para o tratamento de 
enfermidades em indivíduos, já era aplicada rotineiramente em hospitais.
A que técnica refere-se o texto?",A: Vacina.; B: Biópsia.; C: Hemodiálise.; D: Quimioterapia.; E: Transfusão de sangue.,E,0.23,2017,Transfusão de sangue.,Vacina.; Biópsia.; Hemodiálise.; Quimioterapia.,terapia celular sido amplamente divulgada revolucionária permitir regeneração tecidos partir células novas entretanto técnica introduzirem novas células tecido tratamento enfermidades indivíduos aplicada rotineiramente hospitais técnica refere texto,transfusão sangue,vacina biópsia hemodiálise quimioterapia,1.63399
130,"Em algumas residências, cercas eletrificadas são utilizadas com o objetivo de afastar possíveis invasores. 
Uma cerca eletrificada funciona com uma diferença de potencial elétrico de aproximadamente 10 000 volts. 
Para que não seja letal, a corrente que pode ser transmitida através de uma pessoa não deve ser maior do que 
0,01 ampère. Já a resistência elétrica corporal entre as mãos e os pés de uma pessoa é da ordem de 1 000 ohms.
Para que a corrente não seja letal a uma pessoa que toca a cerca eletrificada, o gerador de tensão deve possuir uma 
resistência interna que, em relação à do corpo humano, é",A: praticamente nula.; B: aproximadamente igual.; C: milhares de vezes maior.; D: da ordem de dez vezes maior.; E: da ordem de dez vezes menor.,C,0.11,2017,milhares de vezes maior.,praticamente nula.; aproximadamente igual.; da ordem de dez vezes maior.; da ordem de dez vezes menor.,algumas residências cercas eletrificadas utilizadas objetivo afastar possíveis invasores cerca eletrificada funciona diferença potencial elétrico aproximadamente volts letal corrente pode transmitida através pessoa deve maior ampère resistência elétrica corporal mãos pés pessoa ordem ohms corrente letal pessoa toca cerca eletrificada gerador tensão deve possuir resistência interna relação corpo humano,milhares vezes maior,praticamente nula aproximadamente igual ordem dez vezes maior ordem dez vezes menor,1.26972
131,"Para acender uma fogueira ou um fogão a lenha, recomenda-se utilizar inicialmente folhas secas ou lascas de 
lenha e só depois colocar as toras mais grossas. Considerando-se condições reacionais idênticas, percebe-se que as 
folhas ou lascas queimam numa velocidade maior que as toras.
O fator que determina essa maior velocidade de queima é o aumento da",A: pressão.; B: temperatura.; C: energia de ativação.; D: superfície de contato.; E: concentração dos reagentes.5,D,0.2,2017,superfície de contato.,pressão.; temperatura.; energia de ativação.; concentração dos reagentes.5,acender fogueira fogão lenha recomenda utilizar inicialmente folhas secas lascas lenha colocar toras grossas considerando condições reacionais idênticas percebe folhas lascas queimam velocidade maior toras fator determina maior velocidade queima aumento,superfície contato,pressão temperatura energia ativação concentração reagentes,0.82494
132,"Algumas espécies vegetais têm o tegumento das 
sementes impermeável à água. O fogo frequente, 
durante a seca, provoca uma brusca e rápida elevação 
da temperatura, que pode levar ao aparecimento de 
fissuras na casca da semente e assim torná-la permeável, 
favorecendo sua germinação.
Essa é uma característica adaptativa de vegetais típicos 
de qual bioma brasileiro?",A: Cocais.; B: Pampa.; C: Cerrado.; D: Restinga.; E: Caatinga.,C,0.37,2017,Cerrado.,Cocais.; Pampa.; Restinga.; Caatinga.,algumas espécies vegetais têm tegumento sementes impermeável água fogo frequente durante seca provoca brusca rápida elevação temperatura pode levar aparecimento fissuras casca semente assim torná la permeável favorecendo germinação característica adaptativa vegetais típicos bioma brasileiro,cerrado,cocais pampa restinga caatinga,0.75725
133,"A tabela periódica
No ar que respiramos existem os chamados “gases 
inertes”. Trazem curiosos nomes gregos, que significam 
“o Novo”, “o Oculto”, “o Inativo”. E de fato são de tal 
modo inertes, tão satisfeitos em sua condição, que 
não interferem em nenhuma reação química, não se 
combinam com nenhum outro elemento e justamente por 
esse motivo ficaram sem ser observados durante séculos: 
só em 1962 um químico, depois de longos e engenhosos 
esforços, conseguiu forçar “o Estrangeiro” (o xenônio) a 
combinar-se fugazmente com o flúor ávido e vivaz, e a 
façanha pareceu tão extraordinária que lhe foi conferido 
o Prêmio Nobel.
Qual propriedade do flúor justifica sua escolha como 
reagente para o processo mencionado?",A: Densidade.; B: Condutância.; C: Eletronegatividade.; D: Estabilidade nuclear.; E: Temperatura de ebulição.,C,0.2,2017,Eletronegatividade.,Densidade.; Condutância.; Estabilidade nuclear.; Temperatura de ebulição.,tabela periódica ar respiramos existem chamados gases inertes trazem curiosos nomes gregos significam novo oculto inativo fato tal modo inertes tão satisfeitos condição interferem nenhuma reação química combinam nenhum outro elemento justamente motivo ficaram observados durante séculos químico longos engenhosos esforços conseguiu forçar estrangeiro xenônio combinar fugazmente flúor ávido vivaz façanha pareceu tão extraordinária conferido prêmio nobel propriedade flúor justifica escolha reagente processo mencionado,eletronegatividade,densidade condutância estabilidade nuclear temperatura ebulição,2.39752
134,"No manual fornecido pelo fabricante de uma ducha 
elétrica de 220 volts é apresentado um gráfico com 
a variação da temperatura da água em função da 
vazão para duas condições (morno e superquente). 
Na condição superquente, a potência dissipada é de  
6 500 watts. Considere o calor específico da água 
igual a 4 200 joules por, abre parêntese, quilograma 
vezes graus Celsius, fecha parêntese, e densidade 
da água igual a 1 quilograma por litro.
Descrição do gráfico:
•	 Gráfico da variação da temperatura (eixo vertical, 
em graus Celsius) em função da vazão da água 
(eixo horizontal, em litro por minuto). 
•	 Para a posição morna, na vazão de 3 litros por 
minuto, a temperatura varia 12 graus Celsius e, 
na vazão de 8 litros por minuto, a temperatura 
varia 4 graus Celsius.
•	 Para a posição superquente, na vazão de 3 litros 
por minuto, a temperatura varia 32 graus Celsius 
e, na vazão de 8 litros por minuto, a temperatura 
varia 12 graus Celsius.
Com base nas informações dadas, a potência na condição 
morno corresponde a que fração da potência na condição 
superquente?",A: Um terço.; B: Um quinto.; C: Três quintos.; D: Três oitavos.; E: Cinco oitavos.,D,0.22,2017,Três oitavos.,Um terço.; Um quinto.; Três quintos.; Cinco oitavos.,manual fornecido fabricante ducha elétrica volts apresentado gráfico variação temperatura água função vazão duas condições morno superquente condição superquente potência dissipada watts considere calor específico água igual joules abre parêntese quilograma vezes graus celsius fecha parêntese densidade água igual quilograma litro descrição gráfico gráfico variação temperatura eixo vertical graus celsius função vazão água eixo horizontal litro minuto posição morna vazão litros minuto temperatura varia graus celsius vazão litros minuto temperatura varia graus celsius posição superquente vazão litros minuto temperatura varia graus celsius vazão litros minuto temperatura varia graus celsius base informações dadas potência condição morno corresponde fração potência condição superquente,três oitavos,terço quinto três quintos cinco oitavos,1.20198
135,"A retina é um tecido sensível à luz, localizado na parte 
posterior do olho, onde ocorre o processo de formação 
de imagem. Nesse tecido, encontram-se vários tipos 
celulares específicos. Um desses tipos celulares são os 
cones, os quais convertem os diferentes comprimentos 
de onda da luz visível em sinais elétricos, que são 
transmitidos pelo nervo óptico até o cérebro.
Em relação à visão, a degeneração desse tipo celular irá","A: comprometer a capacidade de visão em cores.; B: impedir a projeção dos raios luminosos na retina.; C: provocar a formação de imagens invertidas na retina.; D: causar dificuldade de visualização de objetos próximos.; E: acarretar a perda da capacidade de alterar o diâmetro 
da pupila.",A,0.24,2017,comprometer a capacidade de visão em cores.,"impedir a projeção dos raios luminosos na retina.; provocar a formação de imagens invertidas na retina.; causar dificuldade de visualização de objetos próximos.; acarretar a perda da capacidade de alterar o diâmetro 
da pupila.",retina tecido sensível luz localizado parte posterior olho onde ocorre processo formação imagem nesse tecido encontram vários tipos celulares específicos desses tipos celulares cones quais convertem diferentes comprimentos onda luz visível sinais elétricos transmitidos nervo óptico cérebro relação visão degeneração desse tipo celular irá,comprometer capacidade visão cores,impedir projeção raios luminosos retina provocar formação imagens invertidas retina causar dificuldade visualização objetos próximos acarretar perda capacidade alterar diâmetro pupila,1.67212
91,"Para serem absorvidos pelas células do intestino
humano, os lipídios ingeridos precisam ser primeiramente
emulsificados. Nessa etapa da digestão, torna-se
necessária a ação dos ácidos biliares, visto que os
lipídios apresentam uma natureza apolar e são insolúveis
em água.

Esses ácidos atuam no processo de modo a",A: hidrolisar os lipídios.; B: agir como detergentes.; C: tornar os lipídios anfifílicos.; D: promover a secreção de lipases.; E: estimular o trânsito intestinal dos lipídios.,B,0.16,2018,agir como detergentes.,hidrolisar os lipídios.; tornar os lipídios anfifílicos.; promover a secreção de lipases.; estimular o trânsito intestinal dos lipídios.,serem absorvidos células intestino humano lipídios ingeridos precisam primeiramente emulsificados nessa etapa digestão torna necessária ação ácidos biliares visto lipídios apresentam natureza apolar insolúveis água ácidos atuam processo modo,agir detergentes,hidrolisar lipídios tornar lipídios anfifílicos promover secreção lipases estimular trânsito intestinal lipídios,1.38202
92,"A tecnologia de comunicação da etiqueta RFID
(chamada de etiqueta inteligente) é usada há anos
para rastrear gado, vagões de trem, bagagem aérea e
carros nos pedágios. Um modelo mais barato dessas
etiquetas pode funcionar sem baterias e é constituído
por três componentes: um microprocessador de silício;
uma bobina de metal, feita de cobre ou de alumínio, que
é enrolada em um padrão circular; e um encapsulador,
que é um material de vidro ou polímero envolvendo
o microprocessador e a bobina. Na presença de um
campo de radiofrequência gerado pelo leitor, a etiqueta
transmite sinais. A distância de leitura é determinada
pelo tamanho da bobina e pela potência da onda de
rádio emitida pelo leitor.

A etiqueta funciona sem pilhas porque o campo",A: elétrico da onda de rádio agita elétrons da bobina.; B: elétrico da onda de rádio cria uma tensão na bobina.; C: magnético da onda de rádio induz corrente na bobina.; D: magnético da onda de rádio aquece os fios da bobina.; E: magnético da onda de rádio diminui a ressonância no interior da bobina.,C,0.49,2018,magnético da onda de rádio induz corrente na bobina.,elétrico da onda de rádio agita elétrons da bobina.; elétrico da onda de rádio cria uma tensão na bobina.; magnético da onda de rádio aquece os fios da bobina.; magnético da onda de rádio diminui a ressonância no interior da bobina.,tecnologia comunicação etiqueta rfid chamada etiqueta inteligente usada anos rastrear gado vagões trem bagagem aérea carros pedágios modelo barato dessas etiquetas pode funcionar baterias constituído três componentes microprocessador silício bobina metal feita cobre alumínio enrolada padrão circular encapsulador material vidro polímero envolvendo microprocessador bobina presença campo radiofrequência gerado leitor etiqueta transmite sinais distância leitura determinada tamanho bobina potência onda rádio emitida leitor etiqueta funciona pilhas porque campo,magnético onda rádio induz corrente bobina,elétrico onda rádio agita elétrons bobina elétrico onda rádio cria tensão bobina magnético onda rádio aquece fios bobina magnético onda rádio diminui ressonância interior bobina,0.557
93,"Corredores ecológicos visam mitigar os efeitos da
fragmentação dos ecossistemas promovendo a ligação
entre diferentes áreas, com o objetivo de proporcionar o
deslocamento de animais, a dispersão de sementes e o
aumento da cobertura vegetal. São instituídos com base
em informações como estudos sobre o deslocamento
de espécies, sua área de vida (área necessária para o
suprimento de suas necessidades vitais e reprodutivas) e
a distribuição de suas populações.

Nessa estratégia, a recuperação da biodiversidade é
efetiva porque",A: propicia o fluxo gênico.; B: intensifica o manejo de espécies.; C: amplia o processo de ocupação humana.; D: aumenta o número de indivíduos nas populações.; E: favorece a formação de ilhas de proteção integral.,A,0.21,2018,propicia o fluxo gênico.,intensifica o manejo de espécies.; amplia o processo de ocupação humana.; aumenta o número de indivíduos nas populações.; favorece a formação de ilhas de proteção integral.,corredores ecológicos visam mitigar efeitos fragmentação ecossistemas promovendo ligação diferentes áreas objetivo proporcionar deslocamento animais dispersão sementes aumento cobertura vegetal instituídos base informações estudos sobre deslocamento espécies área vida área necessária suprimento necessidades vitais reprodutivas distribuição populações nessa estratégia recuperação biodiversidade efetiva porque,propicia fluxo gênico,intensifica manejo espécies amplia processo ocupação humana aumenta número indivíduos populações favorece formação ilhas proteção integral,1.01563
94,"A identificação de riscos de produtos perigosos para o
transporte rodoviário é obrigatória e realizada por meio da
sinalização composta por um painel de segurança, de cor
alaranjada, e um rótulo de risco. As informações inseridas
no painel de segurança e no rótulo de risco, conforme
determina a legislação, permitem que se identifique o
produto transportado e os perigos a ele associados.

A sinalização mostrada identifica uma substância que
está sendo transportada em um caminhão.

Descrição da sinalização:

Painel contendo dois números. Na parte superior
está o número 268; na parte inferior, o número 1005.
Do lado direito há um losango com a ilustração de
um crânio humano com dois ossos cruzados e a
informação textual: “Gás tóxico 2”.

Os três algarismos da parte superior do painel indicam
o “Número de risco”. O número 268 indica tratar-se de um
gás (2), tóxico (6) e corrosivo (8). Os quatro dígitos da
parte inferior correspondem ao “Número ONU”, que
identifica o produto transportado.
Considerando a identificação apresentada no caminhão,
o código 1005 corresponde à substância",A: eteno.; B: nitrogênio.; C: amônia.; D: propano.; E: dióxido de carbono.,C,0.31,2018,amônia.,eteno.; nitrogênio.; propano.; dióxido de carbono.,identificação riscos produtos perigosos transporte rodoviário obrigatória realizada meio sinalização composta painel segurança cor alaranjada rótulo risco informações inseridas painel segurança rótulo risco conforme determina legislação permitem identifique produto transportado perigos associados sinalização mostrada identifica substância sendo transportada caminhão descrição sinalização painel contendo dois números parte superior número parte inferior número lado direito losango ilustração crânio humano dois ossos cruzados informação textual gás tóxico três algarismos parte superior painel indicam número risco número indica tratar gás tóxico corrosivo quatro dígitos parte inferior correspondem número onu identifica produto transportado considerando identificação apresentada caminhão código corresponde substância,amônia,eteno nitrogênio propano dióxido carbono,1.46128
95,"Fundamentos da biologia celular

No ciclo celular atuam moléculas reguladoras. Dentre
elas, a proteína p53 é ativada em resposta a mutações
no DNA, evitando a progressão do ciclo até que os danos
sejam reparados, ou induzindo a célula à autodestruição.

A ausência dessa proteína poderá favorecer a","A: redução da síntese de DNA, acelerando o ciclo celular.; B: saída imediata do ciclo celular, antecipando a proteção do DNA.; C: ativação de outras proteínas reguladoras, induzindo a apoptose.; D: manutenção da estabilidade genética, favorecendo a longevidade.; E: proliferação celular exagerada, resultando na formação de um tumor.",E,0.47,2018,"proliferação celular exagerada, resultando na formação de um tumor.","redução da síntese de DNA, acelerando o ciclo celular.; saída imediata do ciclo celular, antecipando a proteção do DNA.; ativação de outras proteínas reguladoras, induzindo a apoptose.; manutenção da estabilidade genética, favorecendo a longevidade.",fundamentos biologia celular ciclo celular atuam moléculas reguladoras dentre proteína ativada resposta mutações dna evitando progressão ciclo danos reparados induzindo célula autodestruição ausência dessa proteína poderá favorecer,proliferação celular exagerada resultando formação tumor,redução síntese dna acelerando ciclo celular saída imediata ciclo celular antecipando proteção dna ativação outras proteínas reguladoras induzindo apoptose manutenção estabilidade genética favorecendo longevidade,0.44914
96,"Estratificação aquática é o fenômeno de divisão
dos lagos em camadas com diferentes temperaturas.
No verão a água mais próxima à superfície é aquecida
pelo sol, formando uma camada quente, e a camada
inferior do lago se mantém mais fria. No inverno a camada
superior esfria, ocorrendo um processo de troca de
nutrientes e oxigênio entre as camadas.

Esse processo ocorre devido ao(à)",A: diminuição da taxa de evaporação da água.; B: aproximação da temperatura entre as camadas.; C: diminuição da temperatura das camadas inferiores.; D: aumento da taxa de condensação da umidade do ar.; E: aumento da densidade da água da camada superior.,E,0.22,2018,aumento da densidade da água da camada superior.,diminuição da taxa de evaporação da água.; aproximação da temperatura entre as camadas.; diminuição da temperatura das camadas inferiores.; aumento da taxa de condensação da umidade do ar.,estratificação aquática fenômeno divisão lagos camadas diferentes temperaturas verão água próxima superfície aquecida sol formando camada quente camada inferior lago mantém fria inverno camada superior esfria ocorrendo processo troca nutrientes oxigênio camadas processo ocorre devido,aumento densidade água camada superior,diminuição taxa evaporação água aproximação temperatura camadas diminuição temperatura camadas inferiores aumento taxa condensação umidade ar,1.59508
97,"O grafeno é uma forma alotrópica do carbono
constituído por uma folha planar (arranjo bidimensional)
de átomos de carbono compactados e com a espessura
de apenas um átomo. Sua estrutura é hexagonal,
conforme a figura.

Descrição da estrutura do grafeno:

A estrutura apresenta uma rede plana formada
por vários hexágonos interligados, que contêm, em
cada vértice, um átomo de carbono. Cada átomo de
carbono está ligado a outros três átomos de carbono
presentes nos vértices desses hexágonos.

Nesse arranjo, os átomos de carbono possuem hibridação",A: de geometria linear.; B: dois de geometria trigonal planar.; C: três alternados com carbonos com hibridação de geometria linear.; D: três d de geometria planar.; E: três ddois com geometria hexagonal planar.,B,0.11,2018,dois de geometria trigonal planar.,de geometria linear.; três alternados com carbonos com hibridação de geometria linear.; três d de geometria planar.; três ddois com geometria hexagonal planar.,grafeno forma alotrópica carbono constituído folha planar arranjo bidimensional átomos carbono compactados espessura apenas átomo estrutura hexagonal conforme figura descrição estrutura grafeno estrutura apresenta rede plana formada vários hexágonos interligados contêm cada vértice átomo carbono cada átomo carbono ligado outros três átomos carbono presentes vértices desses hexágonos nesse arranjo átomos carbono possuem hibridação,dois geometria trigonal planar,geometria linear três alternados carbonos hibridação geometria linear três d geometria planar três ddois geometria hexagonal planar,1.8928
98,"Um projetista deseja construir um brinquedo que
lance um pequeno cubo ao longo de um trilho horizontal,
e o dispositivo precisa oferecer a opção de mudar a
velocidade de lançamento. Para isso, ele utiliza uma mola
e um trilho onde o atrito pode ser desprezado, conforme
a figura.

Descrição da figura:

A figura ilustra o brinquedo como um tubo (trilho
horizontal) com a extremidade esquerda fechada e a
direita aberta. Uma mola está dentro do tubo, fixada
na extremidade fechada e sendo comprimida por um
cubo, que se pretende lançar pela parte aberta.

Para que a velocidade de lançamento do cubo seja
aumentada quatro vezes, o projetista deve","A: manter a mesma mola e aumentar duas vezes a sua
deformação.; B: manter a mesma mola e aumentar quatro vezes a sua
deformação.; C: manter a mesma mola e aumentar dezesseis vezes a
sua deformação.; D: trocar a mola por outra de constante elástica duas
vezes maior e manter a deformação.; E: trocar a mola por outra de constante elástica quatro
vezes maior e manter a deformação.",B,0.23,2018,"manter a mesma mola e aumentar quatro vezes a sua
deformação.","manter a mesma mola e aumentar duas vezes a sua
deformação.; manter a mesma mola e aumentar dezesseis vezes a
sua deformação.; trocar a mola por outra de constante elástica duas
vezes maior e manter a deformação.; trocar a mola por outra de constante elástica quatro
vezes maior e manter a deformação.",projetista deseja construir brinquedo lance pequeno cubo longo trilho horizontal dispositivo precisa oferecer opção mudar velocidade lançamento utiliza mola trilho onde atrito pode desprezado conforme figura descrição figura figura ilustra brinquedo tubo trilho horizontal extremidade esquerda fechada direita aberta mola dentro tubo fixada extremidade fechada sendo comprimida cubo pretende lançar parte aberta velocidade lançamento cubo aumentada quatro vezes projetista deve,manter mesma mola aumentar quatro vezes deformação,manter mesma mola aumentar duas vezes deformação manter mesma mola aumentar dezesseis vezes deformação trocar mola outra constante elástica duas vezes maior manter deformação trocar mola outra constante elástica quatro vezes maior manter deformação,2.09568
99,"A liberação de gases poluentes para a atmosfera,
provenientes da decomposição do lixo orgânico nos
aterros sanitários, tornou-se um grande problema para o
meio ambiente. Uma das alternativas para minimizá-lo é o
aproveitamento desses gases para gerar energias elétrica
e térmica.

O gás produzido em grande quantidade utilizado para o
